アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同行者,宿泊数（全行程）,宿泊エリア（県外）,宿泊数（県内）,宿泊市町村(1泊目),食事の組み合わせ（1泊目）,宿泊市町村(2泊目),食事の組み合わせ（2泊目）,宿泊市町村(3泊目),食事の組み合わせ（3泊目）,宿泊市町村(4泊目),食事の組み合わせ（4泊目）,交通手段（来県）,交通手段（県内）,満足度（交通）,来県回数,訪問目的,情報源（デジタル）,情報源（デジタル以外）,比較した都道府県の有無,比較した都道府県,比較した都道府県の観光地,消費金額（交通費）,消費金額（飲食費）,消費金額（宿泊費）,消費金額（買い物（工芸品・特産品等）費）,消費金額（観光・体験費）,訪問場所,訪問した寿司店形態,訪問したます寿し店形態,海の幸（食べた）,海の幸（感動した）,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所
2025/4/28,神奈川県,男性,40代,公務員,4: 1000〜2000万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,食事なし（素泊まり）,富山市,食事なし（素泊まり）,,,,,"新幹線, 在来線","レンタカー, 徒歩",大いに満足,１回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光, まちあるき、都市散策各種体験（手作り、果物狩りなど）, 趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する, 指導教官の退官講演・パーティーへの出席のため","Instagram, 宿泊施設のウェブサイト, 宿泊予約Webサイト","口コミ（家族）, 富山県観光公式のパンフレット",ない,,,"5,000円以上10,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","1,000円未満","五箇山, 砺波チューリップ公園, 富岩運河環水公園",食べていない,持ち帰り（道の駅・スーパーなど）,食べていない,食べていない,大いに満足,大いに満足,満足,満足,満足,,愛犬と一緒に旅行しましたが、一緒に入れる施設が少ないと感じました。(砺波のチューリップ公園は入場不可なのはビックリしました。愛犬を専用のリュックに入れて迷惑のかからないように公共交通機関(新幹線、在来線など)にも乗れているのに、園内に一緒に入れないのは残念でした。一律に排除ではなく、同意書などでマナーを守れる(何かあった場合は飼い主が責任を持てる)ペットの入場はできるようにして頂けるとありがたいです。ちなみに、五箇山の国の重要指定文化財の村上邸では、「汚さなければ」とのことでリュックに入れて観光させて頂き、満足しております。),,五箇山です。(特に村上邸では大変お世話になりました),8,機会があれば行きたい,愛犬も一緒に行動できる場所が増えれば、もっと関東から富山に愛犬家が旅行に来ると思います。,富山市
2025/4/28,富山県,女性,70代,パート・アルバイト,1: 300万円未満,夫婦,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,,１０回目以上,宿でのんびり過ごす,宿泊施設のウェブサイト,口コミ（友人・恋人）,ない,,,使わない,"1,000円以上3,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","雨晴海岸, 海王丸パーク, 新湊大橋",回転寿司店（地元）,食べていない,"ブリ, 甘エビ, ホタルイカ","甘エビ, ホタルイカ",大いに満足,大いに満足,普通,大いに満足,大いに満足,天候に恵まれ 美しい自然と美味しい食事,,甘エビ、 ホタルイカ,,10,富山県在住,,氷見市
2025/4/28,愛知県,男性,60代,経営者・役員,2: 300〜599万円,友人・知人,2泊,富山県以外には宿泊しない,2泊,氷見市,食事なし（素泊まり）,氷見市,夕・朝２食付き,,,,,自家用車,"自家用車, 自転車",大いに満足,３回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 買い物（工芸品・特産品など）, アウトドア（海水浴、釣り、登山など）, 趣味を満喫、推し活（好きなアイドル・アニメなどを）応援する",宿泊施設のウェブサイト,経験,ない,,,"30,000円以上40,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満",使わない,"雨晴海岸, 海王丸パーク, 五箇山, 新湊きっときと市場, 砺波チューリップ公園",食べていない,食べていない,"ブリ, シロエビ, ホタルイカ",ブリ,大いに満足,大いに満足,満足,大いに満足,大いに満足,期待どおりであった,,,サイクリング,10,来年もまた行きたい,変わらないでほしい,氷見市
2025/4/28,茨城県,男性,50代,自営業,1: 300万円未満,夫婦,2泊,富山県以外には宿泊しない,2泊,魚津市,食事なし（素泊まり）,魚津市,朝食のみ,,,,,新幹線,"自家用車, 在来線・私鉄・路面電車",満足,６回目,"宿でのんびり過ごす, お祭りやイベントへの参加・見物, その他スポーツ（ゴルフ、テニスなど）, 友人・親戚を訪ねる, 健康を増進する","富山県内市町村の観光公式サイト, 蜃気楼マラソン公式ページ","口コミ（家族）, 富山県観光公式のパンフレット",ない,,,"1,000円以上3,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満",富岩運河環水公園,持ち帰り（道の駅・スーパーなど）,食べていない,"フクラギ（イナダ、ハマチ）, 紅ズワイガニ, 甘エビ",紅ズワイガニ,満足,満足,満足,普通,満足,富山の、観光にかける熱意は凄い。安定の満足感。蜃気楼マラソン主催者の対応に敬意をはらうも、祭り感がもう少し高ければ言うこと無し。,駅前のホテルに宿泊出来たので不便はほぼ無い。ただ、このホテルに予約取れてなければ、移動等に影響あったと考えられる。,ベニズワイ,観光ではないがハーフマラソン,10,来年もまた行きたい,在来線の利便さがもう少し高まると嬉しい,魚津市
2025/4/28,岐阜県,女性,50代,パート・アルバイト,2: 300〜599万円,夫婦,1泊,富山県以外には宿泊しない,1泊,高岡市,朝食のみ,,,,,,,自家用車,自家用車,,２回目,"地元の美味しいものを食べる, 名所、旧跡、寺社仏閣の観光",YOUTUBE,"口コミ（家族）, 雑誌の特集記事",ない,,,"5,000円以上10,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","1,000円以上3,000円未満","新湊大橋, 新湊きっときと市場, 高岡大仏, ほたるいかミュージアム",回転寿司店（地元）,駅（売店・自販機など）,"紅ズワイガニ, シロエビ, ホタルイカ, ゲンゲ, バイガイ","シロエビ, ホタルイカ, ゲンゲ, バイガイ",満足,満足,普通,普通,満足,道の駅が寂しい。お店が少ない。,飲食、観光共に、少ない。,ホタルイカが、最高！,特になし,5,どちらともいえない,全てが少ない。寂しい。つまらない。,高岡市
2025/4/28,神奈川県,男性,60代,会社員,3: 600〜1000万円,ひとり,2泊,富山県以外には宿泊しない,2泊,魚津市,朝食のみ,魚津市,朝食のみ,,,,,新幹線,在来線・私鉄・路面電車,普通,４回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, お祭りやイベントへの参加・見物, その他スポーツ（ゴルフ、テニスなど）","Facebook, 富山県観光公式サイト「とやま観光ナビ」",富山県観光公式のパンフレット,ない,,,"3,000円以上5,000円未満","10,000円以上20,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","10,000円以上20,000円未満","あさひ舟川「春の四重奏」, 黒部峡谷鉄道, 立山黒部アルペンルート, 富岩運河環水公園",専門店,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, 紅ズワイガニ, シロエビ, 甘エビ, バイガイ","シロエビ, バイガイ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,魚津マラソンを完走できた。,アルペンルートの予約が取りづらいこと。,寿司,トロッコ電車,10,来年もまた行きたい,あまりインバウンドに振り切らずに日本人相手の対応を続けて欲しい。,魚津市
2025/4/28,東京都,男性,60代,会社員,2: 300〜599万円,夫婦,4泊以上,長野県,2泊,富山市,夕食のみ,,,,,,,自家用車,自家用車,,２回目,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞",宿泊予約Webサイト,旅行ガイドブック,ない,,,"5,000円以上10,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満",使わない,"1,000円以上3,000円未満","雨晴海岸, 五箇山, 砺波チューリップ公園",食べていない,食べていない,"フクラギ（イナダ、ハマチ）, 甘エビ",どれにも感動していない,満足,満足,普通,満足,普通,雲が多く雪の立山連峰が見えなかった,特になし,海の幸,砺波チューリップ公園,10,機会があれば行きたい,,富山市
2025/4/28,愛知県,女性,50代,会社員,3: 600〜1000万円,ひとり,2泊,富山県以外には宿泊しない,2泊,富山市,朝食のみ,滑川市,夕・朝２食付き,,,,,"在来線, 旅行会社ツアーバス","在来線・私鉄・路面電車, 路線バス",普通,１回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡、寺社仏閣の観光, クルーズ・観光船を楽しむ","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊予約Webサイト",富山県観光公式のパンフレット,ない,,,"50,000円以上100,000円未満","3,000円以上5,000円未満","20,000円以上30,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","岩瀬エリア, 富山県美術館, 富山市ガラス美術館, 富岩運河環水公園, ほたるいかミュージアム",食べていない,食べていない,"ブリ, 紅ズワイガニ, シロエビ, ホタルイカ, バイガイ","シロエビ, ホタルイカ, バイガイ",大いに満足,普通,満足,満足,普通,富山ならではの海の幸か美味しかった。 富山の皆さん、とても親切で、感じがよかった。,富山駅など混雑があり、予定変更することが度々あった。,ホタルイカ,ホタルイカ観光船,7,機会があれば行きたい,,富山市
2025/4/28,石川県,男性,50代,会社員,2: 300〜599万円,子供連れ家族（一番下のお子様が小学生～高校生）,1泊,富山県以外には宿泊しない,1泊,富山市,食事なし（素泊まり）,,,,,,,自家用車,自家用車,,５回目,まちあるき、都市散策各種体験（手作り、果物狩りなど）,宿泊予約Webサイト,口コミ（家族）,ある,福井県,福井市内,"1,000円以上3,000円未満","10,000円以上20,000円未満","40,000円以上50,000円未満","5,000円以上10,000円未満","1,000円以上3,000円未満",八尾地区,食べていない,食べていない,食べていない,食べていない,満足,大いに満足,満足,満足,大いに満足,,,,,8,機会があれば行きたい,都市部にはない、自然、町並み、歴史、文化,富山市
2025/4/28,埼玉県,男性,40代,会社員,4: 1000〜2000万円,子供連れ家族（一番下のお子様が未就学児）,2泊,富山県以外には宿泊しない,2泊,富山市,朝食のみ,滑川市,夕・朝２食付き,,,,,自家用車,"自家用車, 徒歩",,３回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 工場の見学・体験","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト, 宿泊施設のウェブサイト","口コミ（家族）, 口コミ（同僚・同級生）",ない,,,"50,000円以上100,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満","あさひ舟川「春の四重奏」, 雨晴海岸, 富山城, ほたるいかミュージアム",回転寿司店（地元）,食べていない,"ブリ, フクラギ（イナダ、ハマチ）, シロエビ, 甘エビ, ホタルイカ, ウマヅラハギ, ゲンゲ, バイガイ, ヒラメ","ホタルイカ, ウマヅラハギ, ヒラメ",大いに満足,普通,満足,満足,大いに満足,会社の同僚に会いにきました。 自然がきれい！美しい！ 食べ物が本当に美味しい！,特にありません,ヒラメ,ホタルイカ海上観光,10,来年もまた行きたい,また来る予定です。 富山県サーフでの釣りを計画中。,富山市
